Sample,Region,,Device,,Nominal Length,Measured Length,Current,Current,Ohmic1,Ohmic2
"C is carbon, NC is no carbon",X,Y,X,Y,,,100mV,1V,Yes for straight at 100mV,Yes for straight at 1V
,,,,,nm,um,uA,mA,,
1NC,2,1,1,1,500,,80.3,,,
1NC,2,1,1,1,600,,71,,,
1NC,2,1,1,1,700,,72.7,,,
1NC,2,1,1,1,1000,,71.345,,,
1NC,2,1,1,1,1300,,70.75,,,
1NC,2,1,1,1,1600,,63.414,,,
1NC,2,1,1,1,2000,,67.9,,,
1NC,2,1,2,2,500,,0,,,
1NC,2,1,2,2,600,,0,,,
1NC,2,1,2,2,700,,0,,,
1NC,2,1,2,2,1000,,0,,,
1NC,2,1,2,2,1300,,0,,,
1NC,2,1,2,2,1600,,0,,,
1NC,2,1,2,2,2000,,0,,,
1NC,3,2,2,1,500,,88.15,,,
1NC,3,2,2,1,600,,89.03,,,
1NC,3,2,2,1,700,,84.5,,,
1NC,3,2,2,1,1000,,80.54,,,
1NC,3,2,2,1,1300,,74.1,,,
1NC,3,2,2,1,1600,,75.92,,,
1NC,2,1,2,1,2000,,68.9,,,
2NC,2,1,1,1,500,,245.5,,,
2NC,2,1,1,1,600,,227.8,,,
2NC,2,1,1,1,700,,220.8,,,
2NC,2,1,1,1,1000,,191.8,,,
2NC,2,1,1,1,1300,,166.8,,,
2NC,2,1,1,1,1600,,151.8,,,
2NC,2,1,1,1,2000,,133.5,,,
2NC,2,1,2,2,500,,295.1,,,
2NC,2,1,2,2,600,,277.8,,,
2NC,2,1,2,2,700,,238.8,,,
2NC,2,1,2,2,1000,,203.7,,,
2NC,2,1,2,2,1300,,172.9,,,
2NC,2,1,2,2,1600,,153.68,,,
2NC,2,1,2,2,2000,,146.56,,,
2NC,3,2,2,1,500,,226.76,,,
2NC,3,2,2,1,600,,223.56,,,
2NC,3,2,2,1,700,,217.46,,,
2NC,3,2,2,1,1000,,179.7,,,
2NC,3,2,2,1,1300,,161.6,,,
2NC,3,2,2,1,1600,,152.9,,,
2NC,3,2,2,1,2000,,128.15,,,
3NC,2,1,1,1,500,,61.492,,,
3NC,2,1,1,1,600,,61.77,,,
3NC,2,1,1,1,700,,60.14,,,
3NC,2,1,1,1,1000,,61.11,,,
3NC,2,1,1,1,1300,,56.4,,,
3NC,2,1,1,1,1600,,53.26,,,
3NC,2,1,1,1,2000,,42.724,Bad contact (scratch),,
3NC,2,1,2,2,500,,64.64,,,
3NC,2,1,2,2,600,,68.35,,,
3NC,2,1,2,2,700,,62.78,,,
3NC,2,1,2,2,1000,,58.37,,,
3NC,2,1,2,2,1300,,59.08,,,
3NC,2,1,2,2,1600,,54.11,,,
3NC,2,1,2,2,2000,,56.17,,,
3NC,3,2,2,1,500,,70.558,,,
3NC,3,2,2,1,600,,69.4,,,
3NC,3,2,2,1,700,,70.2,,,
3NC,3,2,2,1,1000,,63.5,,,
3NC,3,2,2,1,1300,,62.4,,,
3NC,3,2,2,1,1600,,59.4,,,
3NC,3,2,2,1,2000,,55.6,,,
4NC,2,1,1,1,500,,62.5,,,
4NC,2,1,1,1,600,,59.5,,,
4NC,2,1,1,1,700,,69.6,,,
4NC,2,1,1,1,1000,,67.4,,,
4NC,2,1,1,1,1300,,68.3,,,
4NC,2,1,1,1,1600,,60.9,,,
4NC,2,1,1,1,2000,,60.6,,,
4NC,2,1,2,2,500,,80.94,,,
4NC,2,1,2,2,600,,82.96,,,
4NC,2,1,2,2,700,,79.94,,,
4NC,2,1,2,2,1000,,63.5,,,
4NC,2,1,2,2,1300,,65.9,,,
4NC,2,1,2,2,1600,,68.6,,,
4NC,2,1,2,2,2000,,57.1,,,
4NC,3,2,2,1,500,,81.03,,,
4NC,3,2,2,1,600,,76.998,,,
4NC,3,2,2,1,700,,75.664,,,
4NC,3,2,2,1,1000,,73.91,,,
4NC,3,2,2,1,1300,,55.83,,,
4NC,3,2,2,1,1600,,69.29,,,
4NC,3,2,2,1,2000,,60.91,,,
