,Unnamed: 0,construction_id,station_name_tw,station_name_en,address,lat
0,0,BR13,動物園,Taipei Zoo,台北市文山區新光路二段32號,24.998197
1,1,BR12,木柵,Muzha,台北市文山區木柵路四段135號,24.998241
2,2,BR11,萬芳社區,Wanfang Community,台北市文山區萬芳路60號,24.998585
3,3,BR10,萬芳醫院,Wanfang Hospital,台北市文山區興隆路三段113號,24.999386
4,4,BR9,辛亥,Xinhai,台北市文山區辛亥路四段128號,25.005475
5,5,BR8,麟光,Linguang,台北市大安區和平東路三段410號,25.018535
6,6,BR7,六張犁,Liuzhangli,台北市大安區和平東路三段168號,25.023777
7,7,BR6,科技大樓,Technology Building,台北市大安區復興南路二段235號,25.026125
8,8,BR5,大安,Daan,台北市大安區信義路四段2號,25.032943
9,9,BR4,忠孝復興,Zhongxiao Fuxing,台北市大安區忠孝東路四段47號,25.041629
10,10,BR3,南京復興,Nanjing Fuxing,台北市松山區南京東路三段253號,25.052319
11,11,BR2,中山國中,Zhongshan Junior High School,台北市中山區復興北路376號,25.060849
12,12,BR1,松山機場,Songshan Airport,台北市松山區敦化北路338號,25.063
13,13,B1,大直,Dazhi,台北市中山區北安路534之1號,25.079477
14,14,B2,劍南路,Jiannan Rd.,台北市中山區北安路798號,25.084853
15,15,B3,西湖,Xihu,台北市內湖區內湖路一段256號,25.082133
16,16,B4,港墘,Gangqian,台北市內湖區內湖路一段663號,25.080028
17,17,B5,文德,Wende,台北市內湖區文德路214號,25.078532
18,18,B6,內湖,Neihu,台北市內湖區成功路四段186號,25.083661
19,19,B7,大湖公園,Dahu Park,台北市內湖區成功路五段11號,25.083845
20,20,B8,葫洲,Huzhou,台北市內湖區康寧路三段16號,25.072701
21,21,B9,東湖,Donghu,台北市內湖區康寧路三段235號,25.067147
22,22,B10,南港軟體園區,Nangang Software Park,台北市南港區經貿二路183號,25.059905
23,23,B11,南港展覽館,Taipei Nangang Exhibition Center,台北市南港區南港路一段32號,25.055288
24,24,R5,象山,Xiangshan,台北市信義區信義路五段152號B1,25.03283
25,25,R6,台北101/世貿,Taipei 101/World Trade Center,台北市信義區信義路五段20號B1,25.033102
26,26,R7,信義安和,Xinyi Anhe,台北市大安區信義路四段212之1號B1,25.033326
27,27,R8,大安,Daan,台北市大安區信義路四段2號,25.032943
28,28,R9,大安森林公園,Daan Park,台北市大安區信義路三段100號B1,25.033396
29,29,R10,東門,Dongmen,台北市大安區信義路二段166號B1,25.033847
30,30,R11,中正紀念堂,Chiang Kai-Shek Memorial Hall,台北市中正區羅斯福路一段8之1號B1,25.032729
31,31,R12,台大醫院,NTU Hospital,台北市中正區公園路52號B1,25.041256
32,32,R13,台北車站,Taipei Main Station,台北市中正區忠孝西路一段49號,25.046255
33,33,R14,中山,Zhongshan,台北市中山區南京西路16號,25.052685
34,34,R15,雙連,Shuanglian,台北市大同區民生西路47號,25.057805
35,35,R16,民權西路,Minquan W. Rd.,台北市大同區民權西路72號,25.062905
36,36,R17,圓山,Yuanshan,台北市大同區酒泉街9之1號,25.071353
37,37,R18A,劍潭,Jiantan,台北市士林區中山北路五段65號,25.084873
38,38,R20,士林,Shilin,台北市士林區福德路1號,25.093535
39,39,R21,芝山,Zhishan,台北市士林區福國路70號,25.10306
40,40,R22,明德,Mingde,台北市北投區明德路95號,25.109721
41,41,R23,石牌,Shipai,台北市北投區石牌路一段200號,25.114523
42,42,R24,唭哩岸,Qilian,台北市北投區東華街二段301號,25.120872
43,43,R25,奇岩,Qiyan,台北市北投區三合街二段489號,25.125491
44,44,R26,北投,Beitou,台北市北投區光明路1號,25.131841
45,45,R27,新北投,Xinbeitou,台北市北投區大業路700號,25.136933
46,46,R28,復興崗,Fuxinggang,台北市北投區中央北路三段53巷10號,25.137474
47,47,R29,忠義,Zhongyi,台北市北投區中央北路四段301號,25.130969
48,48,R30,關渡,Guandu,台北市北投區大度路三段296巷51號,25.125633
49,49,R31,竹圍,Zhuwei,新北市淡水區民權路50號,25.13694
50,50,R32,紅樹林,Hongshulin,新北市淡水區中正東路二段68號,25.154042
51,51,R33,淡水,Tamsui,新北市淡水區中正路1號,25.167818
52,52,G1,新店,Xindian,新北市新店區北宜路一段2號,24.957855
53,53,G2,新店區公所,Xindian District Office,新北市新店區北新路一段295號,24.967393
54,54,G3,七張,Qizhang,新北市新店區北新路二段150號,24.975169
55,55,G1A,小碧潭,Xiaobitan,新北市新店區中央路151號4樓,24.971907
56,56,G4,大坪林,Dapinglin,新北市新店區北新路三段190號,24.982899
57,57,G5,景美,Jingmei,台北市文山區羅斯福路六段393號,24.9921276
58,58,G6,萬隆,Wanlong,台北市文山區羅斯福路五段214號,25.001853
